pid,RBSC-id,Label,order,layout,collection,thumbnail,full,manifest
obj22,Missing,,22,slippages_item,slippages,"","",""
obj5,RBSC_ARC_1817_02_02_004_L_005_R,,05,slippages_item,slippages,"/img/derivatives/iiif/images/obj5/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj5/full/full/0/default.jpg,/img/derivatives/iiif/obj5/manifest.json
obj4,RBSC_ARC_1817_02_02_032_L_033_R,Selected pages from Carruthers’ ‘slippages’ notebook highlighting the artist’s creative assimilation of glacial scientific theory.,04,slippages_item,slippages,"/img/derivatives/iiif/images/obj4/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj4/full/full/0/default.jpg,/img/derivatives/iiif/obj4/manifest.json
obj13,RBSC_ARC_1817_01_03_019,,13,slippages_item,slippages,"/img/derivatives/iiif/images/obj13/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj13/full/full/0/default.jpg,/img/derivatives/iiif/obj13/manifest.json
obj12,RBSC_ARC_1817_01_03_012,"Three paintings selected from a series that would form the 27-page graphic score for ‘slippages’ ; acrylic ink on bespoke St-Armand cotton paper using hues of yellows, blues, and greys similar to those observed by the artist in the natural environment on her field trip to Athabasca Glacier.",12,slippages_item,slippages,"/img/derivatives/iiif/images/obj12/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj12/full/full/0/default.jpg,/img/derivatives/iiif/obj12/manifest.json
obj16,04- IMGP7855 copy adjust,Three images courtesy photographer John William capturing Maestro Dr. Jonathan Girard and the artist deep in the collaborative process.,16,slippages_item,slippages,"/img/derivatives/iiif/images/obj16/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj16/full/full/0/default.jpg,/img/derivatives/iiif/obj16/manifest.json
obj3,RBSC_ARC_1817_02_03_003,,03,slippages_item,slippages,"/img/derivatives/iiif/images/obj3/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj3/full/full/0/default.jpg,/img/derivatives/iiif/obj3/manifest.json
obj2,RBSC_ARC_1817_02_03_002,"Two photographs of Athabasca Glacier taken by the artist from a trip on May 23, 2017.",02,slippages_item,slippages,"/img/derivatives/iiif/images/obj2/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj2/full/full/0/default.jpg,/img/derivatives/iiif/obj2/manifest.json
obj17,09- IMGP7838 copy,,17,slippages_item,slippages,"/img/derivatives/iiif/images/obj17/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj17/full/full/0/default.jpg,/img/derivatives/iiif/obj17/manifest.json
obj29,03 UBC Climate crisis photo,,29,slippages_item,slippages,"/img/derivatives/iiif/images/obj29/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj29/full/full/0/default.jpg,/img/derivatives/iiif/obj29/manifest.json
obj0,cropped-banner-image,,00,slippages_item,slippages,"/img/derivatives/iiif/images/obj0/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj0/full/full/0/default.jpg,/img/derivatives/iiif/obj0/manifest.json
obj1,RBSC_ARC_1817_02_03_001,,01,slippages_item,slippages,"/img/derivatives/iiif/images/obj1/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj1/full/full/0/default.jpg,/img/derivatives/iiif/obj1/manifest.json
obj14,RBSC_ARC_1817_01_03_022,,14,slippages_item,slippages,"/img/derivatives/iiif/images/obj14/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj14/full/full/0/default.jpg,/img/derivatives/iiif/obj14/manifest.json
obj28,02 UBC Climate crisis photo,"Student action September 27, 2019 as captured by Bailey Martens in “The stories behind UBC students’ pleas for climate action” published by UBC’s student newspaper; photos courtesy of UBYSSEY.",28,slippages_item,slippages,"/img/derivatives/iiif/images/obj28/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj28/full/full/0/default.jpg,/img/derivatives/iiif/obj28/manifest.json
obj25,RBSC_ARC_1817_01_02_ 020,Two paintings selected from a series forming the 27-page graphic score for ‘slippages’ shown with edits as they appear in Dr. Girard’s study score format.,25,slippages_item,slippages,"/img/derivatives/iiif/images/obj25/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj25/full/full/0/default.jpg,/img/derivatives/iiif/obj25/manifest.json
obj19,RBSC_ARC_1817_01_01_ 024,Three paintings selected from the 27-page ‘slippages’ graphic score shown with the transparent overlay developed by the Maestro and the artist to transform visual expression into sound.,19,slippages_item,slippages,"/img/derivatives/iiif/images/obj19/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj19/full/full/0/default.jpg,/img/derivatives/iiif/obj19/manifest.json
obj18,IMGP7860 copy adjust,,18,slippages_item,slippages,"/img/derivatives/iiif/images/obj18/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj18/full/full/0/default.jpg,/img/derivatives/iiif/obj18/manifest.json
obj24,RBSC_ARC_1817_01_02_ 013,,24,slippages_item,slippages,"/img/derivatives/iiif/images/obj24/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj24/full/full/0/default.jpg,/img/derivatives/iiif/obj24/manifest.json
obj26,RBSC_ARC_1817_01_02_ 023,,26,slippages_item,slippages,"/img/derivatives/iiif/images/obj26/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj26/full/full/0/default.jpg,/img/derivatives/iiif/obj26/manifest.json
obj27,01 UBC Climate crisis photo,,27,slippages_item,slippages,"/img/derivatives/iiif/images/obj27/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj27/full/full/0/default.jpg,/img/derivatives/iiif/obj27/manifest.json
obj23,RBSC_ARC_1817_02_24_001_R,,23,slippages_item,slippages,"/img/derivatives/iiif/images/obj23/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj23/full/full/0/default.jpg,/img/derivatives/iiif/obj23/manifest.json
obj20,RBSC_ARC_1817_01_01_ 038,,20,slippages_item,slippages,"/img/derivatives/iiif/images/obj20/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj20/full/full/0/default.jpg,/img/derivatives/iiif/obj20/manifest.json
obj21,RBSC_ARC_1817_01_01_ 044,,21,slippages_item,slippages,"/img/derivatives/iiif/images/obj21/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj21/full/full/0/default.jpg,/img/derivatives/iiif/obj21/manifest.json
obj6,Missing,,06,slippages_item,slippages,"","",""
obj7,Missing,,07,slippages_item,slippages,"","",""
obj8,Missing,,08,slippages_item,slippages,"","",""
obj9,Missing,,09,slippages_item,slippages,"","",""
obj11,Missing,,11,slippages_item,slippages,"","",""
obj15,Missing,,15,slippages_item,slippages,"","",""
obj10,RBSC_ARC_1817_02_04_004,Photographs of Carruthers’ trip to Athabasca Glacier on display above her Montréal studio work table.,10,slippages_item,slippages,"/img/derivatives/iiif/images/obj10/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj10/full/full/0/default.jpg,/img/derivatives/iiif/obj10/manifest.json
